Name,Ticker,"Sub-Sector","Market Cap","Close Price","PE Ratio","Beta","Alpha","Net Profit Margin","PB Ratio"
Reliance Industries Ltd,RELIANCE,"Oil & Gas - Refining & Marketing","1591687.91793571","2331.3","32.39879331411232","1.13916039348138","9.66132574985066","9.725370333344552","1.991023524121764"
Tata Consultancy Services Ltd,TCS,"IT Services & Consulting","1414739.18811758","3814.9","43.62439679671847","0.626659332962273","13.59404778335","19.383065070437688","16.241208478183175"
HDFC Bank Ltd,HDFCBANK,"Private Banks","839989.08112616","1524","26.38720207601373","1.0895474861","-5.04683283667046","20.420915972368647","3.991528730832561"
Infosys Ltd,INFY,"IT Services & Consulting","728658.140110615","1741.1","37.654805442127795","0.620170303244016","18.597895665747","18.847213970566752","9.489960408827784"
ICICI Bank Ltd,ICICIBANK,"Private Banks","561787.272374805","805.05","30.55797429301427","1.32998857056056","6.46033107494524","11.395011927557354","3.360457302770572"
Hindustan Unilever Ltd,HINDUNILVR,"FMCG - Household Products","539971.31587653","2306.6","67.53862612589494","0.254925522097322","2.92410072847337","16.812112291031436","11.321577470468613"
State Bank of India,SBIN,"Public Banks","482018.26895134","530.3","21.513438424639578","1.47084679358198","2.92367124084212","5.814494390883794","1.6901803296250566"
Housing Development Finance Corporation Ltd,HDFC,"Home Financing","457787.56609014","2503.25","24.428287107412682","1.15075034379176","-10.3202828514417","12.836298469971547","2.764126067679576"
Bajaj Finance Ltd,BAJFINANCE,"Consumer Finance","428770.56381689","7158.4","97.01086555943229","1.79045770315509","12.7352697318948","16.564148401325937","11.614004065096248"
Bharti Airtel Ltd,BHARTIARTL,"Telecom Services","416107.0360491","720.2","-27.58690198223887","0.706020436378231","23.6367645332597","-13.421143717950885","5.122792731064702"
Kotak Mahindra Bank Ltd,KOTAKBANK,"Private Banks","379186.423581945","1884.2","37.95580108745909","0.983652472022546","-1.91615019508557","17.58382547355205","4.469503019697577"
Wipro Ltd,WIPRO,"IT Services & Consulting","315953.0440605","571.75","29.26466637587529","0.384539863171832","14.7277055210639","16.780595163711986","5.739299775125883"
HCL Technologies Ltd,HCLTECH,"IT Services & Consulting","313903.2099798","1163.8","28.165384475531628","0.871314011777856","14.1815668584796","14.605666657929914","5.224579907123598"
Asian Paints Ltd,ASIANPAINT,"Paints","307159.548365","3236.65","97.84363609765255","0.550062774183844","20.4333532499204","14.240733717889874","23.218388812962278"
Adani Green Energy Ltd,ADANIGREEN,"Renewable Energy","299125.5511214","1950.35","1424.407386292381","1.61397630846221","141.780938113639","5.834954153931648","140.6987540552211"
ITC Ltd,ITC,"FMCG - Tobacco","288906.558672645","234.3","21.951400950267026","0.720161148656723","-10.6426663501845","25.356138694014923","4.760039619512672"
Larsen & Toubro Ltd,LT,"Construction & Engineering","271671.22197198","1947.95","23.45444736107189","1.13924504395815","0.617814977232086","7.845052669792594","3.050986885677956"
Avenue Supermarts Ltd,DMART,"Retail - Department Stores","268182.862074","4081.9","243.91569006903262","0.435187907938241","26.4787689543927","4.5173499451709","22.01087006551976"
Bajaj Finserv Ltd,BAJAJFINSV,"Insurance","259842.41506094998","16205.75","58.12431272418287","1.71074293142335","16.1214559640454","7.378023048420746","4.4574485231742615"
Maruti Suzuki India Ltd,MARUTI,"Four Wheelers","259597.03076189998","8550.55","59.14584556330452","1.13010787708671","-8.62719860978033","5.973409474762957","4.944648837573284"
Axis Bank Ltd,AXISBANK,"Private Banks","245306.21183574","798.55","34.09156707943427","1.48101479770891","-16.2457631374438","8.900053606808035","2.363999614867091"
Adani Transmission Ltd,ADANITRANS,"Power Infrastructure","220643.89885146","2033.1","180.2587324364075","2.09188230005733","75.3204737923519","11.085571658090107","22.014065730885193"
Titan Company Ltd,TITAN,"Precious Metals, Jewellery & Watches","219722.63566919998","2471.15","225.8197694441932","0.878720078569092","12.0746881971121","4.45716903344022","29.288541144921354"
UltraTech Cement Ltd,ULTRACEMCO,"Cement","212761.75586391","7439.65","38.94524278594745","0.869211153851844","13.0020079598958","11.9791531904574","4.815749876956975"
Sun Pharmaceutical Industries Ltd,SUNPHARMA,"Pharmaceuticals","211993.24127435","893.95","73.00495253643477","0.658815067623818","18.4156942639199","8.451825826876435","4.284437543022076"
